,contributions,centrality,location,totalCommitContributions,totalIssueContributions,totalPullRequestReviewContributions,totalRepositoriesWithContributedCommits,totalRepositoriesWithContributedIssues,member
0-wiz-0,8,0.0004535269600305716,,0,0,0,0,0,False
0cl,1,0.0,,1,0,0,1,0,False
0mok,3,0.00012107998668788829,[],[],[],[],[],[],False
0x1eaf,3,5.402078162047909e-05,[],[],[],[],[],[],False
0xced,20,0.0001619398254854595,"Fribourg, Switzerland",0,0,0,0,0,False
0xdeafcafe,1,0.0,[],[],[],[],[],[],False
0xedward,6,0.0,,6,0,0,1,0,False
0xflotus,4,0.0008323185653754489,,2,0,0,1,0,False
101companies,78,0.0,,0,0,0,0,0,False
102,1,0.0,[],[],[],[],[],[],False
191919,1,0.0,[],[],[],[],[],[],False
1and2papa,21,0.0,Hong Kong,0,0,0,0,0,False
1dustindavis,2,0.0,San Francisco Bay Area,0,0,0,0,0,False
1mike12,1,0.0,[],[],[],[],[],[],False
1natsu172,1,0.0,[],[],[],[],[],[],False
1zaman,7,0.0,,0,0,0,0,0,False
23Skidoo,4,0.000519633669943567,[],[],[],[],[],[],False
243083df,1,0.0,,0,0,0,0,0,False
2BitSalute,321,8.559529109267191e-05,Seattle,0,0,0,0,0,False
2color,1,0.0,Berlin | Planet Earth,0,0,0,0,0,False
2timesjay,71,0.0,[],[],[],[],[],[],False
314eter,1,0.0,[],[],[],[],[],[],False
38elements,1,0.0,[],[],[],[],[],[],False
3ach,1,0.0,[],[],[],[],[],[],False
3adev,31,0.0,"Toulouse, France",0,0,0,0,0,False
3flex,8,0.0,"Melbourne, Australia",0,0,0,0,0,False
3scava1i3r,1,0.0,IIIT Luckcnow,1,1,0,1,1,False
3x380V,84,0.0,,0,0,0,0,0,False
403studio,2,0.0,"Changsha,Hunan,China",0,0,0,0,0,False
4fath,1,0.0,[],[],[],[],[],[],False
4tXJ7f,48,0.0,[],[],[],[],[],[],False
5outh,1,0.0,[],[],[],[],[],[],False
77web,2,0.0,"Nagoya, Aichi, Japan",0,0,0,0,0,False
8398a7,1,0.0,"Kyoto, Japan",0,0,0,0,0,False
8enet,1,0.0,[],[],[],[],[],[],False
9b,5,0.0,[],[],[],[],[],[],False
9muir,1,0.0,"Cambridge, MA",0,0,0,0,0,False
A-Tokyo,1,0.0,Palo Alto,0,0,0,0,0,False
A-gambit,2,0.0,[],[],[],[],[],[],False
A1igator,1,0.0,[],[],[],[],[],[],False
A5he,50,1.0814332345238526e-06,[],[],[],[],[],[],False
AGCB,1,0.0,,0,0,0,0,0,False
AGFeldman,9,0.00012086171418272464,"San Francisco, CA, USA",0,0,0,0,0,False
AGS-,14,0.00015407556998863617,"San Francisco, CA",0,0,0,0,0,False
AHB,1,0.0,London,1,0,0,1,0,False
AJamesPhillips,2,0.0,[],[],[],[],[],[],False
AKST,1,0.0,"Sydney, NSW, Australia",0,0,0,0,0,False
AMDmi3,2,0.0,[],[],[],[],[],[],False
APTy,1,0.0,,0,0,0,0,0,False
ASankaran,32,0.0,,2,0,0,1,0,False
AVykhrystyuk,1,0.0,Saint Petersburg,0,0,0,0,0,False
AWDGroup,1,0.0,[],[],[],[],[],[],False
AaaChiuuu,170,9.951100706060521e-05,,3,0,0,2,0,True
AaronAsAChimp,1,0.0,"Clawson, MI",1,1,0,1,1,False
AaronFriel,1,0.0,[],[],[],[],[],[],False
Aaronik,2,0.0,"Santa Cruz, CA",0,0,0,0,0,False
Aatch,29,0.0,"Wellington, NZ",0,0,0,0,0,False
Abdallatif,8,0.0,[],[],[],[],[],[],False
AbdouMoumen,1,0.0,"Redmond, WA",1,0,0,1,0,False
AbelTesfaye,2,0.0,[],[],[],[],[],[],False
Abhi347,1,0.0,"Stockholm, Sweden",1,0,0,1,0,False
Abhik11,2,6.768667868742376e-06,United States,0,0,0,0,0,False
AbhilashJN,1,0.0,[],[],[],[],[],[],False
Abhiroop,1,0.0,[],[],[],[],[],[],False
AbilashK,3,0.0,India,0,0,0,0,0,False
Absotively,1,0.0,[],[],[],[],[],[],False
AdamLiechty,1,0.0,[],[],[],[],[],[],False
AdamRamberg,1,0.0,Gothenburg,0,0,0,0,0,False
AdelMEZARA,2,0.0,[],[],[],[],[],[],False
Adlai-Holler,7,3.3802287674353495e-05,"Redwood City, CA",0,0,0,0,0,False
AdlyTempleton,1,0.0,[],[],[],[],[],[],False
AdrienFromToulouse,1,0.0,Toulouse ⇄ Seoul ⇄ Singapore ⇄ Amsterdam,0,0,0,0,0,False
Adriman2,1,0.0,"Reutlingen, Germany",0,0,0,0,0,False
Aftabnack,4,0.0001288355441846297,"Bangalore, India",0,0,0,0,0,False
AggroBlitzer,1,0.0,[],[],[],[],[],[],False
AgtLucas,6,0.00040503055219895926,Planet Earth,0,0,0,0,0,False
AhmedAbdellah19,18,0.0,[],[],[],[],[],[],False
AhmedSoliman,23,9.737218437137215e-05,"London, UK",21,0,0,11,0,False
Airse,1,0.0,[],[],[],[],[],[],False
AjanthanAsogamoorthy,57,0.0003647356352739294,,2,0,0,2,0,False
Ako92,2,0.0,[],[],[],[],[],[],False
AlaRuba,1,0.0,,0,0,0,0,0,False
AlainODea,1,0.0,[],[],[],[],[],[],False
Alan-Cha,1,0.0,[],[],[],[],[],[],False
AlbertVilaCalvo,1,0.0,[],[],[],[],[],[],False
AleksandrChernyavenko,1,0.0,[],[],[],[],[],[],False
AlexDenisov,201,0.0,Berlin,0,0,0,0,0,False
AlexJeng,1,0.0,,0,0,0,0,0,False
AlexJuarez,1,0.0,,0,0,0,0,0,True
AlexKVal,2,0.0,remote,0,0,0,0,0,False
AlexLandau,1,0.0,,1,0,1,1,0,False
AlexTrotsenko,4,0.0,"Lausanne, Switzerland",0,0,0,0,0,False
AlexxNica,2,0.0001288355441846297,,0,0,0,0,0,False
AliSoftware,26,0.0,"Rennes, France",0,0,0,0,0,False
AlicanC,1,0.0,"Istanbul, Turkey",1,1,0,1,1,False
AljoschaMeyer,1,0.0,[],[],[],[],[],[],False
AllanWang,1,0.0,[],[],[],[],[],[],False
AllenChien,1,0.0,[],[],[],[],[],[],False
AlmeroSteyn,6,0.00016120894238041899,The Netherlands,0,0,0,0,0,False
AloneCoder,1,0.0,Moscow,0,0,0,0,0,False
AlphaStream,11,4.162711340947971e-05,,0,0,0,0,0,False
AltanAlpay,1,0.0,[],[],[],[],[],[],False
AlvaroFranco,28,0.0,Spain,0,0,0,0,0,False
Amar1729,6,5.672935859820607e-06,,8,0,0,2,0,False
Amber1990Zhang,1,0.0,[],[],[],[],[],[],False
AmitHarlev,1,0.0,[],[],[],[],[],[],False
AnSavvides,10,5.799796988757555e-05,London,0,0,0,0,0,False
Anandsoni14,1,0.0,[],[],[],[],[],[],False
Ananya88,1,0.0,[],[],[],[],[],[],False
AnayoOleru,1,0.0,[],[],[],[],[],[],False
Andarist,22,0.0007137559983115081,"Wrocław, Poland",6,6,6,3,3,False
AndersDJohnson,1,0.0,[],[],[],[],[],[],False
Andersbakken,1,0.0,[],[],[],[],[],[],False
Andre-ARM,160,0.0,"Cambridge, UK",0,0,0,0,0,False
AndreasPK,52,0.0,"Vienna, Austria",0,0,0,0,0,False
AndreasVoellmy,65,1.726585039060374e-05,,0,0,0,0,0,False
AndrewBestbier,1,0.0,[],[],[],[],[],[],False
AndrewJack,16,0.0009635602022242316,"London, UK",0,0,0,0,0,False
AndrewLeedham,1,0.0,United Kingdom,1,1,0,1,1,False
AndrewPardoe,1,0.0,,1,0,0,1,0,True
AndrewShmig,38,0.0,,0,0,0,0,0,False
AndrewTolmach,16,0.0,,0,0,0,0,0,False
Andrewpk,1,0.0,"Royal Oak, Michigan",0,0,0,0,0,False
Andrey-Mishanin,275,0.0001499236618422735,,97,0,0,2,0,True
Andreyco,5,0.0002675508420858003,Slovakia,0,0,0,0,0,False
AndrooTheChen,3,0.0,[],[],[],[],[],[],False
AndyG,1,0.0,[],[],[],[],[],[],False
Anenth,4,0.0,Bangalore,0,0,0,0,0,False
Angelfire,1,0.0,[],[],[],[],[],[],False
AnneTheAgile,1,0.0,[],[],[],[],[],[],False
AntC2,2,0.0,[],[],[],[],[],[],False
AntoineDoubovetzky,1,0.0,[],[],[],[],[],[],False
Antondomashnev,15,0.00038961220182619113,London,0,0,0,0,0,False
AodhanHayter,1,0.0,"Salt Lake City, UT",0,0,0,0,0,False
Apollinaire,1,0.0,[],[],[],[],[],[],False
AprilArcus,3,0.0,,0,0,0,0,0,False
AriLFrankel,1,0.0,"Austin, TX",0,0,0,0,0,False
ArieShapiro,1,0.0,,1,0,0,1,0,False
ArielH25,1,0.0,[],[],[],[],[],[],False
ArkadyDR,1,0.0,,1,0,0,1,0,False
Armaxis,2,0.0,[],[],[],[],[],[],False
ArtSabintsev,60,0.0,"McLean, VA",0,0,0,0,0,False
ArtemGovorov,4,0.0,"Gold Coast, Australia",0,0,0,0,0,False
Arthelon,1,0.0,,0,0,0,0,0,False
Artoria2e5,3,0.0004535269600305716,"Great Barrington, MA",3,1,1,2,1,False
AsaAyers,3,0.0001288355441846297,,0,0,0,0,0,False
Ashikpaul,4,0.0,[],[],[],[],[],[],False
Ashish1101,1,0.0,[],[],[],[],[],[],False
AshleyYakeley,10,0.0,"Seattle, WA",0,0,0,0,0,False
Ashoat,6,0.00015410898130431889,New York City,1,1,0,1,1,False
Ashpants,2,0.0,,0,0,0,0,0,False
Ashton-W,2,0.0,[],[],[],[],[],[],False
Ashwin-Mothilal,2,0.0,[],[],[],[],[],[],False
AshwiniReddyChalla,1,0.0,[],[],[],[],[],[],False
Atul9,2,0.00034618348152607,"Pune, India",0,0,0,0,0,False
Atyansh,2,0.0,[],[],[],[],[],[],False
AudyOdi,2,0.0,[],[],[],[],[],[],False
AugustinLF,1,0.0,Paris,0,0,0,0,0,False
AutoSponge,1,0.0,"CT, USA",0,0,0,0,0,False
AvraamMavridis,1,0.0,Berlin,0,1,0,0,1,False
AwesomeZaidi,1,0.0,[],[],[],[],[],[],False
AxelLin,63,0.0,Taiwan,0,0,0,0,0,False
BMorearty,1,0.0,[],[],[],[],[],[],False
BODAZ,1,0.0,,0,0,0,0,0,False
BPScott,1,0.0,[],[],[],[],[],[],False
BTMPL,1,0.0,[],[],[],[],[],[],False
BYK,10,1.1167816527042855e-05,"Izmir, Turkey",0,0,0,0,0,False
Babar,35,0.00020867476660048432,,3,0,0,2,0,False
Balandat,46,0.0,[],[],[],[],[],[],False
BalestraPatrick,1,0.0,[],[],[],[],[],[],False
BarakChamo,1,0.0,"Brooklyn, NY",0,0,0,0,0,False
BarrettOlson,6,0.0,[],[],[],[],[],[],False
BartMassey,2,0.0,[],[],[],[],[],[],False
BatDroid,5,0.0,[],[],[],[],[],[],False
Bebere,5,0.0,Bangkok,0,0,0,0,0,False
BeckyWu220,1,0.0,[],[],[],[],[],[],False
Ben0mega,2,0.0,[],[],[],[],[],[],False
BenBrostoff,1,0.0,[],[],[],[],[],[],False
BenDoan,1,0.0,,0,0,0,0,0,False
BenGardiner,27,0.0,"Kanata, ON",0,0,0,0,0,False
Benjamin-Dobell,1,0.0,"Melbourne, Australia",0,0,0,0,0,False
BenjiLee,2,0.0,[],[],[],[],[],[],False
BennettSmith,21,0.0,"San Francisco Bay Area, CA",0,0,0,0,0,False
BenoitAverty,1,0.0,[],[],[],[],[],[],False
BenoitZugmeyer,1,0.0,Paris,0,0,0,0,0,False
Berdes,1,0.0,[],[],[],[],[],[],False
Bernabe-Felix,2,0.0,[],[],[],[],[],[],False
Bharat123rox,1,0.0,Chennai,0,0,0,0,0,False
Bhullnatik,11,0.0,Everywhere,0,0,0,0,0,False
