"","X","contributions","between_centrality","loc","member","org"
"1","0-wiz-0",8,0.000453526960030569,"","False","facebook"
"2","0cl",1,0,"","False","facebook"
"3","0mok",3,0.000121079986687887,"Seoul","False","facebook"
"4","0x1eaf",3,5.40207816204782e-05,"[]","False","facebook"
"5","0xced",20,0.000161939825485458,"Fribourg, Switzerland","False","facebook"
"6","0xdeafcafe",1,0,"[]","False","facebook"
"7","0xedward",6,0,"","False","facebook"
"8","0xflotus",4,0.000832318565375433,"","False","facebook"
"9","101companies",78,0,"[]","False","facebook"
"10","102",1,0,"Omsk","False","facebook"
"11","191919",1,0,"[]","False","facebook"
"12","1and2papa",21,0,"[]","False","facebook"
"13","1dustindavis",2,0,"San Francisco Bay Area","False","facebook"
"14","1mike12",1,0,"United States","False","facebook"
"15","1natsu172",1,0,"[]","False","facebook"
"16","1zaman",7,0,"[]","False","facebook"
"17","23Skidoo",4,0.000519633669943558,"Deptford, London, UK","False","facebook"
"18","243083df",1,0,"[]","False","facebook"
"19","2BitSalute",321,8.55952910926719e-05,"Seattle","False","facebook"
"20","2color",1,0,"[]","False","facebook"
"21","2timesjay",71,0,"","False","facebook"
"22","314eter",1,0,"[]","False","facebook"
"23","38elements",1,0,"Kyoto","False","facebook"
"24","3ach",1,0,"Salt Lake City, Utah, USA","False","facebook"
"25","3adev",31,0,"Toulouse, France","False","facebook"
"26","3flex",8,0,"Melbourne, Australia","False","facebook"
"27","3scava1i3r",1,0,"IIIT Luckcnow","False","facebook"
"28","3x380V",84,0,"","False","facebook"
"29","403studio",2,0,"[]","False","facebook"
"30","4fath",1,0,"","False","facebook"
"31","4tXJ7f",48,0,"","False","facebook"
"32","5outh",1,0,"[]","False","facebook"
"33","77web",2,0,"Nagoya, Aichi, Japan","False","facebook"
"34","8398a7",1,0,"[]","False","facebook"
"35","8enet",1,0,"Shanghai, China ","False","facebook"
"36","9b",5,0,"Northern Virginia","False","facebook"
"37","9muir",1,0,"Cambridge, MA","False","facebook"
"38","A-Tokyo",1,0,"Palo Alto","False","facebook"
"39","A-gambit",2,0,"[]","False","facebook"
"40","A1igator",1,0,"[]","False","facebook"
"41","A5he",50,1.08143323452383e-06,"[]","False","facebook"
"42","AGCB",1,0,"[]","False","facebook"
"43","AGFeldman",9,0.000120861714182723,"San Francisco, CA, USA","False","facebook"
"44","AGS-",14,0.000154075569988632,"San Francisco, CA","True","facebook"
"45","AHB",1,0,"London","False","facebook"
"46","AJamesPhillips",2,0,"[]","False","facebook"
"47","AKST",1,0,"Sydney, NSW, Australia","False","facebook"
"48","AMDmi3",2,0,"","False","facebook"
"49","APTy",1,0,"[]","False","facebook"
"50","ASankaran",32,0,"","False","facebook"
"51","AVykhrystyuk",1,0,"Saint Petersburg","False","facebook"
"52","AWDGroup",1,0,"[]","False","facebook"
"53","AaaChiuuu",170,9.95110070606052e-05,"","False","facebook"
"54","AaronAsAChimp",1,0,"Clawson, MI","False","facebook"
"55","AaronFriel",1,0,"[]","False","facebook"
"56","Aaronik",2,0,"Santa Cruz, CA","False","facebook"
"57","Aatch",29,0,"[]","False","facebook"
"58","Abdallatif",8,0,"Palestine","False","facebook"
"59","AbdouMoumen",1,0,"Redmond, WA","False","facebook"
"60","AbelTesfaye",2,0,"[]","False","facebook"
"61","Abhi347",1,0,"Stockholm, Sweden","False","facebook"
"62","Abhik11",2,6.76866786874251e-06,"[]","False","facebook"
"63","AbhilashJN",1,0,"[]","False","facebook"
"64","Abhiroop",1,0,"[]","False","facebook"
"65","AbilashK",3,0,"India","False","facebook"
"66","Absotively",1,0,"[]","False","facebook"
"67","AdamLiechty",1,0,"Vancouver, WA","False","facebook"
"68","AdamRamberg",1,0,"[]","False","facebook"
"69","AdelMEZARA",2,0,"[]","False","facebook"
"70","Adlai-Holler",7,3.38022876743534e-05,"Redwood City, CA","False","facebook"
"71","AdlyTempleton",1,0,"United States","False","facebook"
"72","AdrienFromToulouse",1,0,"Toulouse ⇄ Seoul ⇄ Singapore ⇄ Amsterdam","False","facebook"
"73","Adriman2",1,0,"Reutlingen, Germany","False","facebook"
"74","Aftabnack",4,0.000128835544184629,"Bangalore, India","False","facebook"
"75","AggroBlitzer",1,0,"","False","facebook"
"76","AgtLucas",6,0.000405030552198963,"Planet Earth","False","facebook"
"77","AhmedAbdellah19",18,0,"[]","False","facebook"
"78","AhmedSoliman",23,9.73721843713711e-05,"London, UK","True","facebook"
"79","Airse",1,0,"Singapore","False","facebook"
"80","AjanthanAsogamoorthy",57,0.000364735635273917,"","False","facebook"
"81","Ako92",2,0,"","False","facebook"
"82","AlaRuba",1,0,"","False","facebook"
"83","AlainODea",1,0,"[]","False","facebook"
"84","Alan-Cha",1,0,"","False","facebook"
"85","AlbertVilaCalvo",1,0,"[]","False","facebook"
"86","AleksandrChernyavenko",1,0,"[]","False","facebook"
"87","AlexDenisov",201,0,"Berlin","False","facebook"
"88","AlexJeng",1,0,"[]","False","facebook"
"89","AlexJuarez",1,0,"","False","facebook"
"90","AlexKVal",2,0,"[]","False","facebook"
"91","AlexLandau",1,0,"","False","facebook"
"92","AlexTrotsenko",4,0,"[]","False","facebook"
"93","AlexxNica",2,0.000128835544184629,"","False","facebook"
"94","AliSoftware",26,0,"[]","False","facebook"
"95","AlicanC",1,0,"Istanbul, Turkey","False","facebook"
"96","AljoschaMeyer",1,0,"[]","False","facebook"
"97","AllanWang",1,0,"Mountain View, California","False","facebook"
"98","AllenChien",1,0,"","False","facebook"
"99","AlmeroSteyn",6,0.000161208942380417,"[]","False","facebook"
"100","AloneCoder",1,0,"Moscow","False","facebook"
"101","AlphaStream",11,4.16271134094792e-05,"[]","False","facebook"
"102","AltanAlpay",1,0,"[]","False","facebook"
"103","AlvaroFranco",28,0,"Spain","False","facebook"
"104","Amar1729",6,5.67293585982038e-06,"","False","facebook"
"105","Amber1990Zhang",1,0,"US","False","facebook"
"106","AmitHarlev",1,0,"","False","facebook"
"107","AnSavvides",10,5.79979698875755e-05,"London","False","facebook"
"108","Anandsoni14",1,0,"Kolkata","False","facebook"
"109","Ananya88",1,0,"","False","facebook"
"110","AnayoOleru",1,0,"Lagos Nigeria","False","facebook"
"111","Andarist",22,0.000713755998311517,"Wrocław, Poland","False","facebook"
"112","AndersDJohnson",1,0,"[]","False","facebook"
"113","Andersbakken",1,0,"","False","facebook"
"114","Andre-ARM",160,0,"Cambridge, UK","False","facebook"
"115","AndreasPK",52,0,"[]","False","facebook"
"116","AndreasVoellmy",65,1.72658503906034e-05,"","False","facebook"
"117","AndrewBestbier",1,0,"[]","False","facebook"
"118","AndrewJack",16,0.000963560202224245,"London, UK","False","facebook"
"119","AndrewLeedham",1,0,"United Kingdom","False","facebook"
"120","AndrewPardoe",1,0,"","True","facebook"
"121","AndrewShmig",38,0,"","False","facebook"
